X,y
3.7454,16.4103
9.5071,32.9234
7.3199,27.1433
5.9866,18.9846
1.5602,9.2412
1.5599,10.3941
0.5808,9.6983
8.6618,29.9487
6.0112,21.4165
7.0807,25.2387
0.2058,7.4483
9.6991,34.7548
8.3244,28.9138
2.1234,12.3967
1.8182,10.6489
1.834,12.4394
3.0424,12.7232
5.2476,20.0874
4.3195,17.1741
2.9123,10.8098
6.1185,23.9478
1.3949,9.7069
2.9214,13.7746
3.6636,15.5217
4.5607,15.8514
7.8518,27.714
1.9967,10.3048
5.1423,18.8225
5.9241,22.4499
0.4645,7.2016
6.0754,26.9987
1.7052,10.4649
0.6505,7.4666
9.4889,33.3177
9.6563,30.1314
8.084,29.1989
3.0461,14.2589
0.9767,12.8566
6.8423,25.1423
4.4015,18.8077
1.2204,8.5917
4.9518,17.518
0.3439,8.3173
9.0932,33.7835
2.5878,14.3455
6.6252,23.0569
3.1171,17.1569
5.2007,17.7983
5.4671,22.575
1.8485,14.9265
9.6958,32.1065
7.7513,27.1214
9.395,33.3843
8.9483,30.8379
5.979,19.8357
9.2187,32.7934
0.8849,5.5302
1.9598,11.8267
0.4523,4.518
3.2533,17.8598
3.8868,15.0938
2.7135,12.4963
8.2874,31.4892
3.5675,13.2409
2.8093,13.883
5.427,23.8952
1.4092,6.0128
8.022,29.4352
0.7455,7.7563
9.8689,36.1703
7.7224,25.6934
1.9872,8.3206
0.0552,6.2095
8.1546,30.0578
7.0686,26.7067
7.2901,27.5631
7.7127,26.7781
0.7404,7.6858
3.5847,16.3401
1.1587,7.0474
8.631,34.6247
6.233,24.6466
3.309,12.5443
0.6356,8.2199
3.1098,12.3801
3.2518,16.3297
7.2961,29.2054
6.3756,22.4854
8.8721,33.5431
4.7221,19.992
1.1959,10.2319
7.1324,30.1909
7.6079,27.3328
5.6128,20.3308
7.7097,26.35
4.938,18.1822
5.2273,20.5278
4.2754,18.5085
0.2542,6.316
1.0789,9.8911
